Designator,Footprint,Quantity,Value,LCSC Part #
C1,CAPPM3216X180N,1,T491A106K016ATAUTO,C1953841
"C10, C12, C14, C15, C16, C18, C19, C2, C20, C21, C4, C5, C6, C8",0603,14,100nF,C14663
C11,0603,1,10uF,C19702
"C13, C17",0603,2,18pF,C107040
C3,0603,1,22uF,C86295
C7,0603,1,47uF,C140782
C9,0603,1,1uF,C5199872
J1,ADAM_PH2-20-UA,1,PH2-20-UA,
L1,0603,1,10uH,C86083
R1,0603,1,100R,C105588
"R2, R3",0603,2,2.2K,C4190
U1,SOT230P700X180-4N,1,AZ1117H-3.3TRE1,C92517
U2,TQFP48_PT_MCH,1,dsPIC33AK512MPS505T-I/PT,
U3,SOP65P640X120-16N,1,DAC7564ICPW,C52451
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,FM24W256G,C22443246
Y1,XTAL_ABMM-25.000MHZ-B2-T,1,ABMM-25.000MHZ-B2-T,C596927
