Designator,Mid X,Mid Y,Rotation,Layer
C1,92.15,-61.75,0.0,top
C10,119.25,-77.25,0.0,top
C11,113.525,-74.25,180.0,top
C12,113.525,-75.75,180.0,top
C13,129.25,-86.6433,270.0,top
C14,123.75,-82.025,270.0,top
C15,113.525,-77.25,180.0,top
C16,123.75,-88.025,270.0,top
C17,129.25,-82.8433,90.0,top
C18,122.605,-57.75,90.0,top
C19,135.75,-60.525,270.0,top
C2,91.275,-63.75,0.0,top
C20,122.5,-61.275,270.0,top
C21,101.275,-84.345,270.0,top
C3,99.39,-72.465,90.0,top
C4,101.9,-72.465,90.0,top
C5,117.25,-91.1183,180.0,top
C6,113.725,-91.0983,180.0,top
C7,106.5,-72.475,90.0,top
C8,109.5,-86.1433,270.0,top
C9,109.52,-72.475,90.0,top
J1,102.45,-56.975,0.0,top
L1,117.0375,-74.26,180.0,top
R1,120.175,-58.5,0.0,top
R2,100.95,-88.535,90.0,top
R3,103.8,-88.535,90.0,top
U1,93.25,-69.5,270.0,top
U2,116.5,-84.5745,0.0,top
U3,129.5,-59.5,0.0,top
U4,95.525,-85.095,270.0,top
Y1,135.75,-85.1183,180.0,top
