"Id";"지정자";"풋프린트";"수량";"지정";"공급자와 참조";
1;"J5,J4,J3,J6,J2";"ADAM_PH2-20-UA";5;"PH2-20-UA";;;
2;"R19,R18";"R_0603_1608Metric";2;"2.2K";;;
3;"C26,C7,C6,C29,C11,C2,C28,C10,C4,C27";"C_0603_1608Metric";10;"100nF";;;
4;"C8,C9,C5,C12,C3";"C_0603_1608Metric";5;"22uF";;;
5;"U3";"SOP65P640X120-16N";1;"DAC7564ICPW";;;
6;"U1";"SOT230P700X180-4N";1;"AZ1117H-3.3TRE1";;;
7;"J1";"SAMTEC_HTEC8-160-01-X-DV-A-BL-X";1;"HTEC8-160-01-X-DV-A-BL-X";;;
8;"R17";"R_0603_1608Metric";1;"100R";;;
9;"C1";"CAPPM3216X180N";1;"T491A106K016ATAUTO";;;
10;"U4";"SOIC-8_3.9x4.9mm_P1.27mm";1;"FM24W256G";;;
