Designator,Footprint,Quantity,Value,LCSC Part #
C1,CAPPM3216X180N,1,T491A106K016ATAUTO,C1953841
"C10, C11, C2, C26, C27, C28, C29, C4, C6, C7",0603,10,100nF,C14663
"C12, C3, C5, C8, C9",0603,5,22uF,C602037
J1,SAMTEC_HTEC8-160-01-X-DV-A-BL-X,1,HTEC8-160-01-X-DV-A-BL-X,C6571580
"J2, J3, J4, J5, J6",ADAM_PH2-20-UA,5,PH2-20-UA,C3327060
R17,0603,1,100R,C105588
"R18, R19",0603,2,2.2K,C114762
U1,SOT230P700X180-4N,1,AZ1117H-3.3TRE1,C92517
U3,SOP65P640X120-16N,1,DAC7564ICPW,C52451
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,FM24W256G,C22443246
