Designator,Mid X,Mid Y,Rotation,Layer
C1,110.35,-49.5,180.0,top
C10,106.775,-58.1,0.0,top
C11,89.0,-57.6,180.0,top
C12,89.0,-54.69,180.0,top
C2,113.0,-52.63,180.0,top
C26,110.555,-102.03,180.0,top
C27,123.875,-100.5,0.0,top
C28,110.555,-104.9,180.0,top
C29,132.525,-87.0,0.0,top
C3,112.975,-65.5,180.0,top
C4,112.95,-68.5,180.0,top
C5,106.75,-79.2,0.0,top
C6,106.75,-82.2,0.0,top
C7,88.75,-82.3,180.0,top
C8,88.75,-79.5,180.0,top
C9,106.775,-55.1,0.0,top
J1,97.55,-78.85,90.0,top
J2,125.48,-45.02,0.0,top
J3,76.02,-112.73,0.0,top
J4,44.86,-112.73,0.0,top
J5,44.86,-45.02,0.0,top
J6,74.11,-45.02,0.0,top
R17,110.5,-99.4,0.0,top
R18,132.525,-93.3,0.0,top
R19,132.525,-90.1,0.0,top
U1,114.25,-59.25,270.0,top
U3,117.45,-104.05,0.0,top
U4,126.375,-90.735,270.0,top
